Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass,AgeatFirstBirth,DietBreadth,GestationLen,HabitatBreadth,HomeRange,LitterSize,LittersPerYear,MaxLongevity,NeonateBodyMass,PopulationDensity,SexualMaturityAge,Terrestriality,TrophicLevel
Carnivora,Viverridae,Hemigalus,derbyanus,Hemigalus derbyanus,nocturnal,1262.7,NA,6,NA,1,NA,1.73,NA,144,125,NA,NA,ground dwelling,omnivore
Artiodactyla,Bovidae,Hemitragus,hylocrius,Hemitragus hylocrius,both,74186.41,669.16,2,186.35,1,NA,1.41,NA,207,NA,NA,NA,ground dwelling,herbivore
Artiodactyla,Bovidae,Hemitragus,jayakari,Hemitragus jayakari,both,22210.18,NA,3,164.31,1,NA,1,NA,168,NA,NA,NA,ground dwelling,herbivore
Artiodactyla,Bovidae,Hemitragus,jemlahicus,Hemitragus jemlahicus,NA,68616.43,730,2,195.76,NA,NA,1.01,NA,261.6,2700,NA,1532.89,NA,herbivore
Carnivora,Herpestidae,Herpestes,brachyurus,Herpestes brachyurus,nocturnal,1396.16,NA,1,NA,1,NA,3.49,NA,NA,NA,NA,NA,ground dwelling,carnivore
Carnivora,Herpestidae,Herpestes,edwardsi,Herpestes edwardsi,diurnal,1304.67,NA,6,63.09,1,NA,2,3.3,NA,NA,NA,311.36,ground dwelling,omnivore
Artiodactyla,Hippopotamidae,Hexaprotodon,liberiensis,Hexaprotodon liberiensis,both,235001.16,NA,4,200,2,0.72,1,1,525.6,5730,NA,1510.3,ground dwelling,herbivore
Artiodactyla,Cervidae,Hippocamelus,antisensis,Hippocamelus antisensis,NA,68599.35,NA,2,235.72,1,NA,1,NA,127.2,NA,1.2,NA,ground dwelling,herbivore
Artiodactyla,Cervidae,Hippocamelus,bisulcus,Hippocamelus bisulcus,both,69240.81,NA,2,212.91,1,0.86,1,1,NA,3575.62,1.12,NA,ground dwelling,herbivore
Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,Hippopotamus amphibius,both,1536310.4,1460,2,235.37,2,NA,1,1,654,40199.99,4.86,2030,ground dwelling,omnivore
Chiroptera,Hipposideridae,Hipposideros,armiger,Hipposideros armiger,NA,49.99,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,ater,Hipposideros ater,NA,5.86,380.2,1,195,1,NA,0.99,NA,NA,1.25,NA,326.81,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,beatus,Hipposideros beatus,NA,6.7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Hipposideridae,Hipposideros,bicolor,Hipposideros bicolor,NA,8.39,NA,1,42.1,1,NA,0.99,NA,NA,1.2,NA,587.78,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,caffer,Hipposideros caffer,NA,9.46,730,1,139.92,1,NA,0.99,1,NA,2.79,NA,581.78,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,cervinus,Hipposideros cervinus,NA,8.51,NA,1,NA,1,NA,NA,NA,NA,1.31,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,cineraceus,Hipposideros cineraceus,NA,3.84,NA,1,NA,1,NA,0.98,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,commersoni,Hipposideros commersoni,nocturnal,89.99,882.08,1,150.34,1,NA,0.99,1,NA,28,NA,742.46,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,corynophyllus,Hipposideros corynophyllus,NA,15.07,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Hipposideridae,Hipposideros,cyclops,Hipposideros cyclops,NA,32.92,NA,NA,106.45,1,NA,1,1,NA,NA,NA,NA,above ground,NA
Chiroptera,Hipposideridae,Hipposideros,diadema,Hipposideros diadema,NA,46.9,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,doriae,Hipposideros doriae,NA,4.24,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,fulvus,Hipposideros fulvus,NA,8.83,719.86,1,161.65,1,NA,1,1,144,2.34,NA,551.01,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,galeritus,Hipposideros galeritus,NA,10.17,NA,2,NA,1,NA,0.99,1,NA,NA,NA,NA,above ground,omnivore
Chiroptera,Hipposideridae,Hipposideros,gigas,Hipposideros gigas,NA,115.42,NA,NA,NA,NA,NA,1,NA,NA,28,NA,NA,NA,NA
Chiroptera,Hipposideridae,Hipposideros,halophyllus,Hipposideros halophyllus,NA,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,inornatus,Hipposideros inornatus,NA,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Hipposideridae,Hipposideros,jonesi,Hipposideros jonesi,NA,5.49,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Hipposideridae,Hipposideros,lankadiva,Hipposideros lankadiva,NA,44.76,NA,1,257.02,1,NA,0.99,1,NA,8.71,NA,510.44,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,larvatus,Hipposideros larvatus,NA,19.95,NA,1,NA,1,NA,0.98,NA,NA,3.75,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,lekaguli,Hipposideros lekaguli,NA,31.08,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,lylei,Hipposideros lylei,NA,40,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,maggietaylorae,Hipposideros maggietaylorae,NA,16.1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Hipposideridae,Hipposideros,obscurus,Hipposideros obscurus,NA,9.6,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,pomona,Hipposideros pomona,NA,6.2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,pygmaeus,Hipposideros pygmaeus,NA,3.53,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,ridleyi,Hipposideros ridleyi,NA,9.59,NA,1,NA,1,NA,0.98,2,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,ruber,Hipposideros ruber,NA,10.61,NA,NA,92.54,1,NA,1,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Hipposideridae,Hipposideros,semoni,Hipposideros semoni,NA,14,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Hipposideridae,Hipposideros,speoris,Hipposideros speoris,NA,10.39,443.57,1,139.13,1,NA,0.99,1,NA,2.1,NA,271.84,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,stenotis,Hipposideros stenotis,NA,12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Hipposideridae,Hipposideros,turpis,Hipposideros turpis,NA,33.31,NA,1,NA,1,NA,1,NA,NA,3,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,wollastoni,Hipposideros wollastoni,NA,6.93,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Artiodactyla,Bovidae,Hippotragus,equinus,Hippotragus equinus,diurnal,264173.96,1049.37,5,278.23,1,NA,0.98,NA,240,16412.18,0.96,841.82,ground dwelling,herbivore
Artiodactyla,Bovidae,Hippotragus,niger,Hippotragus niger,diurnal,236405.9,983.37,5,272.87,1,NA,1,NA,267,16412.18,1.3,972.17,ground dwelling,herbivore
Chiroptera,Vespertilionidae,Histiotus,macrotus,Histiotus macrotus,NA,11,NA,1,NA,2,NA,0.98,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Histiotus,velatus,Histiotus velatus,NA,11.32,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,above ground,carnivore
Rodentia,Cricetidae,Hodomys,alleni,Hodomys alleni,NA,367.59,NA,NA,NA,2,NA,1.39,NA,NA,NA,NA,NA,ground dwelling,NA
Rodentia,Cricetidae,Holochilus,brasiliensis,Holochilus brasiliensis,NA,155,NA,1,28.4,3,NA,3.88,NA,NA,4.99,NA,89.63,ground dwelling,herbivore
Rodentia,Cricetidae,Holochilus,chacarius,Holochilus chacarius,both,204,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,above ground,herbivore
Rodentia,Cricetidae,Holochilus,sciureus,Holochilus sciureus,both,120.42,NA,3,NA,2,NA,3.12,NA,NA,NA,NA,NA,ground dwelling,omnivore
Rodentia,Echimyidae,Hoplomys,gymnurus,Hoplomys gymnurus,nocturnal,281.42,NA,2,59.99,2,NA,2.1,NA,NA,24.39,NA,NA,ground dwelling,herbivore
Carnivora,Hyaenidae,Hyaena,brunnea,Hyaena brunnea,nocturnal,42977.93,1095,6,95.8,2,67.3,2.3,NA,204,693.09,0.01,807.23,ground dwelling,omnivore
Carnivora,Hyaenidae,Hyaena,hyaena,Hyaena hyaena,both,35070.51,NA,6,90.5,1,45.19,2.44,NA,288,653.23,NA,928.08,ground dwelling,omnivore
Rodentia,Muridae,Hybomys,planifrons,Hybomys planifrons,NA,49.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Muridae,Hybomys,trivirgatus,Hybomys trivirgatus,NA,60.08,NA,NA,NA,NA,NA,2.72,NA,NA,NA,80.6,NA,NA,NA
Rodentia,Muridae,Hybomys,univittatus,Hybomys univittatus,diurnal,54.46,NA,NA,30,2,0.002104427,2.3,NA,NA,4.4,NA,71.43,ground dwelling,NA
Carnivora,Mustelidae,Hydrictis,maculicollis,Hydrictis maculicollis,both,4180.53,NA,1,59.6,2,NA,2,NA,NA,NA,NA,841.82,ground dwelling,carnivore
Rodentia,Caviidae,Hydrochoerus,hydrochaeris,Hydrochoerus hydrochaeris,both,48144.91,NA,5,150.73,3,0.07,3.49,1,144,1500,125.34,566.36,above ground,herbivore
Rodentia,Caviidae,Hydrochoerus,isthmius,Hydrochoerus isthmius,NA,21267.32,NA,NA,108.21,NA,NA,4.99,NA,NA,NA,NA,NA,NA,NA
Rodentia,Muridae,Hydromys,chrysogaster,Hydromys chrysogaster,both,626.17,158,2,36.6,3,NA,3.51,2.5,74,25,NA,124.43,ground dwelling,carnivore
Artiodactyla,Cervidae,Hydropotes,inermis,Hydropotes inermis,NA,12760.04,NA,NA,175.49,NA,NA,3,NA,144,1016.19,NA,292.63,NA,NA
Artiodactyla,Tragulidae,Hyemoschus,aquaticus,Hyemoschus aquaticus,nocturnal,10850,NA,1,173.52,1,0.2,1.22,1,168,NA,15.85,314.64,ground dwelling,herbivore
Primates,Hylobatidae,Hylobates,agilis,Hylobates agilis,diurnal,5829.08,NA,4,NA,NA,0.19,1.02,NA,528,NA,11.73,NA,NA,omnivore
